order_id,product_id,add_to_cart_order
1483,32818,1
1483,27582,2
1483,12302,3
1483,1831,4
1483,19204,5
1483,10180,6
1483,1545,7
1483,18352,8
1483,16464,9
1483,5531,10
1483,7118,11
1483,20985,12
4595,31829,1
4595,32226,2
4595,8143,3
4595,20738,4
4595,8832,5
7099,6799,1
7099,8580,2
7099,31231,3
7099,1185,4
7099,44051,5
7099,11123,6
7099,33787,7
7099,33754,8
7099,46676,9
7099,22124,10
7099,14233,11
7099,5708,12
7099,30908,13
8382,3873,1
8382,28199,2
8382,42372,3
8382,23106,4
8382,33819,5
8382,3108,6
8382,42959,7
8382,7883,8
8382,3919,9
14400,30415,1
14400,1654,2
14400,11079,3
19190,79,1
19190,30511,2
19190,13187,3
19190,23148,4
19190,35607,5
19190,46650,6
19256,27086,1
19256,27435,2
19256,41480,3
19256,31372,4
19256,33735,5
20042,13176,1
20042,4562,2
20042,12872,3
20042,38400,4
20042,24964,5
20042,44683,6
20042,28058,7
20042,43295,8
20042,26721,9
20042,44837,10
20042,25931,11
21889,48857,1
21889,117,2
21889,48953,3
21889,5785,4
21889,35108,5
21889,18531,6
21889,33754,7
21889,48745,8
21889,45007,9
21889,33825,10
21889,27243,11
21889,32537,12
21889,33290,13
21889,37973,14
21889,9839,15
21889,42244,16
21889,23216,17
21889,19019,18
21889,24221,19
21889,43768,20
21889,30442,21
23391,13198,1
23391,42803,2
23391,8277,3
23391,37602,4
23391,40852,5
23391,4920,6
23391,4945,7
23391,17638,8
23391,11520,9
23391,32177,10
23391,27344,11
29758,13176,1
29758,196,2
29758,43154,3
29902,48787,1
29902,1104,2
29902,49683,3
29902,35108,4
29902,21376,5
31801,6934,1
31801,42987,2
31801,24852,3
31801,14814,4
31801,2481,5
31801,35921,6
31801,41844,7
31801,45064,8
31801,31459,9
31801,25670,10
32664,19204,1
32664,43227,2
32664,36866,3
32664,1782,4
32664,23909,5
32664,32648,6
33681,5473,1
35187,21413,1
35187,30233,2
35187,17794,3
35187,23405,4
35187,47547,5
35187,40377,6
35187,10644,7
35187,6649,8
35187,11005,9
35187,44359,10
35187,8656,11
35187,12797,12
35187,41220,13
35187,21863,14
35187,18362,15
35187,39275,16
35187,15392,17
35187,21137,18
35187,42445,19
44604,39663,1
44604,38400,2
44604,13176,3
44604,25005,4
44604,16759,5
44604,27105,6
44604,15287,7
44604,40706,8
44604,45200,9
44604,29071,10
44604,28058,11
46584,35561,1
48293,23622,1
48293,24852,2
48293,35108,3
48293,45646,4
48293,42828,5
51418,49383,1
51418,11913,2
51418,47766,3
51418,24852,4
51418,38231,5
51418,6638,6
51418,16521,7
53644,47144,1
53644,32648,2
53644,1782,3
53644,31414,4
53644,20169,5
53644,1545,6
53644,18059,7
53644,6069,8
53644,11642,9
53644,9532,10
53644,37997,11
62373,31387,1
62373,41131,2
62373,12129,3
62373,18523,4
62373,33754,5
62373,37646,6
62373,43645,7
62373,14708,8
62373,46842,9
62373,17038,10
62373,30425,11
62373,24186,12
62373,44375,13
62373,48988,14
63916,27839,1
63916,39275,2
64791,28204,1
64791,21567,2
64791,4562,3
64791,47626,4
64791,13176,5
64791,21903,6
64791,43713,7
64791,24964,8
64791,48364,9
64791,40709,10
64791,12036,11
64791,37053,12
64791,39160,13
64791,29418,14
64791,47042,15
64791,28058,16
64791,9839,17
65724,1194,1
65724,24852,2
66340,11699,1
66340,19204,2
66340,5322,3
66340,594,4
66340,29285,5
66340,9532,6
66340,1831,7
66340,36316,8
66340,49520,9
66340,31414,10
66340,43227,11
66340,11642,12
68288,46979,1
68288,47380,2
68288,20995,3
68288,43014,4
68288,15011,5
68288,27156,6
68288,13512,7
68288,40604,8
68288,13198,9
68288,9339,10
68288,5646,11
68288,28986,12
68288,27104,13
68288,41220,14
68288,22825,15
68288,34358,16
68288,44910,17
68288,15290,18
68288,14992,19
68288,36695,20
68288,47042,21
68288,23165,22
68288,15937,23
68288,25931,24
68288,5818,25
68288,1529,26
68288,32537,27
68288,11782,28
68288,30489,29
68288,36735,30
68288,18441,31
68288,15392,32
68288,7632,33
68288,32299,34
68288,48204,35
68288,28535,36
68288,34128,37
68288,8988,38
68288,13212,39
68288,7746,40
68288,35973,41
68288,35725,42
68288,45664,43
68288,16857,44
68288,31506,45
68288,47526,46
72626,21927,1
72626,4793,2
72626,9637,3
72626,24852,4
72626,9203,5
72626,46979,6
72626,45774,7
72626,33754,8
72626,18370,9
72626,21137,10
72626,8239,11
72626,13629,12
72626,11130,13
72626,49215,14
72626,22963,15
72626,2452,16
72626,4962,17
72626,17630,18
72626,37718,19
75972,47626,1
75972,46979,2
75972,19048,3
77399,32599,1
77399,23148,2
77399,35607,3
77399,22372,4
77399,13708,5
77399,34202,6
77399,31829,7
77449,45007,1
77449,5322,2
77449,20670,3
77449,49131,4
77449,30839,5
77449,7559,6
77449,9339,7
77449,47209,8
77449,13176,9
77449,1463,10
77449,47672,11
77449,42445,12
77449,6348,13
77449,8277,14
77449,33100,15
77449,33636,16
77449,35383,17
77449,28380,18
77791,21508,1
77791,16965,2
77791,8668,3
77791,18793,4
77791,49326,5
77791,43352,6
77791,9076,7
77791,21137,8
77791,11662,9
77791,27044,10
77791,27086,11
77791,48205,12
77791,47766,13
77791,28204,14
77791,2434,15
77791,24852,16
77791,31387,17
79015,37987,1
79015,6873,2
79015,41055,3
79015,27344,4
79015,15503,5
79015,24964,6
79015,22713,7
79015,34969,8
79015,37524,9
79015,26165,10
